start,end,speaker_id,duration
0.993,30.204,SPEAKER_00,29.211000000000002
32.414,41.391,SPEAKER_01,8.976999999999997
41.611,42.455,SPEAKER_00,0.8440000000000012
41.645,42.708000000000006,SPEAKER_01,1.0630000000000024
42.674,44.024,SPEAKER_00,1.3500000000000014
45.813,67.10900000000001,SPEAKER_01,21.296000000000006
67.227,82.786,SPEAKER_00,15.558999999999997
84.659,102.564,SPEAKER_01,17.904999999999987
103.492,117.532,SPEAKER_00,14.039999999999992
119.759,138.67600000000002,SPEAKER_01,18.917000000000016
139.351,168.96699999999998,SPEAKER_00,29.615999999999985
170.907,192.321,SPEAKER_01,21.413999999999987
192.322,193.689,SPEAKER_00,1.3669999999999902
192.76,193.503,SPEAKER_01,0.742999999999995
193.823,216.571,SPEAKER_00,22.74799999999999
218.579,237.783,SPEAKER_01,19.20399999999998
238.103,238.67700000000002,SPEAKER_00,0.5740000000000123
238.188,239.35199999999998,SPEAKER_01,1.1639999999999873
239.858,240.651,SPEAKER_00,0.7930000000000064
240.297,240.989,SPEAKER_01,0.6920000000000073
240.989,251.334,SPEAKER_00,10.344999999999999
253.696,271.55,SPEAKER_01,17.854000000000013
272.14,304.557,SPEAKER_00,32.41700000000003
306.97,326.02200000000005,SPEAKER_01,19.05200000000002
326.36,335.472,SPEAKER_00,9.111999999999966
337.548,355.925,SPEAKER_01,18.37700000000001
356.245,363.974,SPEAKER_00,7.728999999999985
365.982,381.423,SPEAKER_01,15.440999999999974
382.165,383.73400000000004,SPEAKER_00,1.5690000000000168
385.726,397.184,SPEAKER_01,11.458000000000027
397.623,399.108,SPEAKER_00,1.4850000000000136
401.437,406.601,SPEAKER_01,5.163999999999987
407.326,408.338,SPEAKER_00,1.0120000000000005
410.093,417.451,SPEAKER_01,7.358000000000004
417.755,421.231,SPEAKER_00,3.475999999999999
423.644,429.348,SPEAKER_01,5.704000000000008
